deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,acq_naics_tom,acq_naics,acq_naics_valid,acq_sic,acq_sic_crsp,acq_sic_crsp_valid,tar_naics,tar_naic_crsp,tar_naics_crsp_valid,tar_sic,tar_sic_crsp,tar_sic_crsp_valid,hor_level,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_eb_at,tar_eb_at,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,USBC_rd_ratio,USBC_sal_ratio,USBC_export,USBC_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,"acq_car_[-40, 5]","tar_car_[-40, 5]","com_car_[-40, 5]","acq_car_(-5, 5)","tar_car_(-5, 5)","com_car_(-5, 5)","acq_car_(-40, 5)","tar_car_(-40, 5)","com_car_(-40, 5)","acq_car_(-20, 5)","tar_car_(-20, 5)","com_car_(-20, 5)","acq_car_(-30, 5)","tar_car_(-30, 5)","com_car_(-30, 5)"
962226020,18/01/2000,18/01/2000,,"[-316, -64, -40, 5]",16006.384,El Paso Energy Corp,Coastal Corp,4242,3130,46,46,253,253,100,100,100,TRUE,8490.747,4757.103625,1,1,1,7142.768,8495.887125,1,1,1,1,1,221210,,0,4922,4922,1,221210,,0,4923,4922,1,3,FALSE,1,0,0,2.51953948,0.915972586,0.07696891,0.10559895,4922,221210,20.42967181,6.4613,2376,66515186,18.4,29.2,52.8,81.9,0.043712847,58.31841048,,,37.57917642,57.8242,31.4543,629.8744,927.6781,797.2576,3971.155,14095.66345,2082.72,305.9891,227.4965,584.9861,1.964378816,1.436408212,1.6862,466.6891,617.2305,567.1855,17.71912353,5.339540357,6.51956703,869.3336,286.4889,714.1977,0.210129368,0.00391028,0.00E+00,535.0796,270.9739,343.1899,0.096345606,0.208620915,-0.177641502,-0.113523149,-0.135103189,-0.151197619,0.054300431,-0.01777511,-0.177641502,-0.113523149,-0.135103189,-0.102348725,0.086920327,0.020686597,-0.135916398,0.014480985,-0.037402209
967341020,28/01/2000,28/01/2000,,"[-316, -64, -40, 5]",93.859,Leapnet Inc,SPR Inc,63662,65604,46,46,253,253,100,100,100,TRUE,84.396,53.9583125,1,1,1,78.31,48.2125,1,1,1,1,1,334611,,0,7372,7310,1,541511,,0,7371,7310,1,3,FALSE,0,0,0,3.574208614,0.859099358,-0.05473391,0.234875,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,13.29731127,6.0381,17.0353,397.5398,214.7731,591.2763,504.1633636,1015.264066,162.367,39.6296,36.44,37.8205,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.83306599,385.4407,377.9963,610.0402,70.53095382,10.34613448,9.35604188,966.5674,925.743,940.6239,-0.22317709,-0.267917688,-0.050997582,0.453761992,0.079862684,-0.006834883,0.012759089,0.013287927,-0.050997582,0.453761992,0.079862684,-0.058976304,0.042868226,-0.005270642,-0.090629454,0.190803773,-0.002566475
977805020,17/02/2000,17/02/2000,,"[-316, -64, -40, 5]",1504.728,Lennar Corp,US Home Corp,6669,10950,46,46,253,253,100,100,100,TRUE,959.275,1080.53287,1,0.8305,1,370.131,394.756875,1,1,1,1,1,236115,,0,1521,6552,1,236115,,0,1521,6552,1,4,FALSE,0,0,0,0.551594496,2.101218826,0.12736764,0.06724731,1521,236115,20.42967181,6.4613,,,,,,,0.00645009,,,,14.81339615,12.5097,15.4772,324.3692,325.9928,586.3228,724.6147692,927.4157176,421.567,33.5102,2.8799,309.2441,3.085327466,0.848075057,0.6172,634.198,78.7409,28.1688,1.469665077,1.028446539,0.68679069,1.1172,2.8675,33.8657,16.19569185,0.778771241,0.00E+00,710.1232,645.8891,450.5635,0.081061404,0.228854408,0.04969035,0.33056442,0.142523844,-0.030261582,0.255675437,0.064558225,0.04969035,0.33056442,0.142523844,0.013698837,0.240300591,0.090579959,0.030885525,0.325350642,0.127915564
980830020,25/02/2000,25/02/2000,,"[-316, -64, -40, 5]",1412.69,NetIQ Corp,Mission Critical Software Inc,122436,122517,46,46,81,77,100,100,100,TRUE,1072.618,694.8,1,1,1,1000.569,905.1022579,1,0.9401,1,1,1,334611,,0,7372,7370,1,334611,,0,7372,7370,1,4,FALSE,0,0,0,-56.02267008,-30.60523302,-0.05339436,0.10991791,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,13.29731127,6.0381,17.0353,397.5398,214.7731,591.2763,504.1633636,1015.264066,162.367,39.6296,36.44,37.8205,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.83306599,385.4407,377.9963,610.0402,70.53095382,10.34613448,9.35604188,966.5674,925.743,940.6239,-0.10888054,-0.423516354,-0.296730856,-0.50422392,-0.392437731,-0.152646878,-0.208138662,-0.175933118,-0.296730856,-0.50422392,-0.392437731,-0.246206574,-0.359469355,-0.292666097,-0.161192601,-0.369318851,-0.258868662
983469020,07/03/2000,07/03/2000,,"[-316, -64, -40, 5]",21101.386,VeriSign Inc,Network Solutions Inc,66368,65488,46,46,253,253,100,100,100,TRUE,9709.62,10428.26313,1,1,1,9095.95,6412.270625,1,1,1,1,1,541512,,0,7373,7370,1,,,0,7375,7370,1,3,FALSE,0,0,0,157.4413334,138.8029166,-0.24331597,0.06934518,7373,541512,20.42967181,6.4613,39517,78335457,21.1,28.9,40,48.3,0.165294158,72.84710061,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,-0.240820118,-0.119385227,-0.070896077,0.528328922,0.135524311,-0.237935095,0.302365028,-0.05764584,-0.070896077,0.528328922,0.135524311,-0.021184173,0.447298061,0.143676924,-0.147899038,0.400007467,0.042517587
984550020,08/03/2000,08/03/2000,,"[-316, -64, -40, 5]",1105.654,Cybex Computer Products Corp,Apex Inc,61093,64397,46,46,253,253,100,100,100,TRUE,480.768,583.54125,1,1,1,957.375,553.374,1,1,1,1,1,334119,,0,3577,3570,1,334119,,0,3577,3570,1,4,FALSE,0,0,0,8.620069786,8.404742186,0.21718901,0.29075724,3577,334119,20.42967181,6.4613,838,8493631,46,56,71.1,82.4,0.075230765,62.26204314,,,104.8886207,2.2442,2.0444,919.9254,94.0467,142.0404,2270.681914,61170.97113,82.037,209.3706,634.7456,24.1374,2.678784235,1.003547725,0.9887,629.8653,254.7475,289.2989,6.279414069,5.825096747,4.3194705,461.3908,476.889,276.1882,31.06363159,5.199470878,10.51259375,911.7168,868.1889,929.558,-0.075376263,-0.338303634,0.326418633,0.200676975,0.260908049,-0.093542506,0.009035595,-0.046305787,0.326418633,0.200676975,0.260908049,0.107243086,-0.036252226,0.033673208,0.098270866,0.107828526,0.101222648
985448020,13/03/2000,13/03/2000,,"[-316, -64, -40, 5]",9069.821,Tribune Co,Times Mirror Co,10726,10580,46,46,253,253,100,100,100,TRUE,9460.856,12906.388,1,1,1,5130.722,3610.66084,0,0.7844,1,1,1,511110,,0,2711,2711,1,511110,,0,2711,2711,1,4,FALSE,0,0,0,1.374263216,48.24962242,0.15126719,0.1329062,2711,511110,20.42967181,6.4613,8603,46179063,31.9,44.1,61.9,77.5,0.027524992,34.45242313,,,10.46504157,13.9384,9.1479,332.5476,382.5088,314.7945,4054.358429,6707.611541,2661.9315,197.1875,175.8235,331.6458,1.787064336,1.79295132,1.4566,534.0968,666.51,530.7567,9.534765286,9.336188357,8.843406785,718.2261,765.0771,764.8889,0.099180643,0.096607892,0.00E+00,520.1093,470.5035,104.0074,0.064627067,0.110509512,-0.388489657,0.321798346,0.023668887,0.025849674,0.587425549,0.359405695,-0.388489657,0.321798346,0.023668887,-0.146674781,0.486161697,0.224757144,-0.209342988,0.404875337,0.152596837
993439020,03/04/2000,03/04/2000,,"[-316, -64, -40, 5]",7250.069,Anadarko Petroleum Corp,Union Pacific Resources Group,11923,61413,46,46,253,253,100,100,100,TRUE,3872.457,4351.585875,1,1,1,2535.396,3213.6375,1,1,1,1,1,211111,,0,1311,1311,1,211111,,0,1311,1311,1,4,FALSE,0,0,0,1.877828894,1.921823908,0.09687575,0.15860027,1311,211111,20.42967181,6.4613,,,,,,,0.043712847,65.24956583,,,84.79144931,76.7385,70.4158,944.2455,947.6277,950.1031,5798.424,52785.4165,842.704,287.1374,616.2089,143.5195,2.305262035,1.025900223,2.3181,628.5356,355.834,672.5769,62.82187415,8.90011862,44.79228849,968.7621,731.2965,962.3269,0.030001468,0.273911048,0.00E+00,481.5696,536.4122,28.5614,0.025645933,0.065690348,0.082529161,0.279486103,0.151612491,0.044324746,0.251893017,0.115972539,0.082529161,0.279486103,0.151612491,0.174437651,0.39910093,0.251956761,0.083216305,0.300452358,0.159005309
1000349020,25/04/2000,17/02/2000,17/02/2000,"[-316, -64, -40, 5]",9640.103,International Paper Co,Champion International Corp,6104,2917,46,46,253,253,100,100,100,TRUE,15596.267,20082.8315,1,1,1,5976.089,5399.168875,1,1,1,1,1,322121,,0,2621,2621,1,322122,,0,2621,2621,1,4,FALSE,1,1,1,0.395601471,4.951388437,0.10112991,0.10759798,2621,322121,20.42967181,6.4613,174,24145138,59.3,73.9,87.5,96.8,0.03689302,52.22859396,,,7.662188,14.0021,12.283,221.1109,390.953,458.581,7995.243545,22601.12238,4267,374.0641,382.5707,421.4189,1.185063123,1.288039452,1.1859,376.9091,496.0994,475.3967,6.791991,7.359032951,6.91062447,512.3115,637.5654,693.2019,0.451538909,0.601134137,0.0657772,666.542,691.9739,684.093,0.027017828,0.175154379,0.039430521,0.131826254,0.064115517,-0.068380314,0.241181381,0.005994489,0.039430521,0.131826254,0.064115517,-0.012718325,0.246370717,0.049116689,0.056997035,0.291699479,0.113836883
1009852020,26/05/2000,26/05/2000,,"[-316, -64, -40, 5]",3426.134,Devon Energy Corp,Sante Fe Synder Corp,14934,9406,46,46,253,253,100,100,100,TRUE,4167.384,3093.679688,1,0.9397,1,1674.987,1313.956875,1,1,1,1,1,211111,,0,1311,1311,1,211111,,0,1311,1311,1,4,FALSE,0,0,0,0.580142866,3.779232455,0.10710229,0.14558729,1311,211111,20.42967181,6.4613,,,,,,,0.043712847,65.24956583,,,84.79144931,76.7385,70.4158,944.2455,947.6277,950.1031,5798.424,52785.4165,842.704,287.1374,616.2089,143.5195,2.305262035,1.025900223,2.3181,628.5356,355.834,672.5769,62.82187415,8.90011862,44.79228849,968.7621,731.2965,962.3269,0.030001468,0.273911048,0.00E+00,481.5696,536.4122,28.5614,-0.013208253,0.012931249,0.189409708,0.262144227,0.201467043,-0.043114939,0.079054937,-0.020559832,0.189409708,0.262144227,0.201467043,0.137609636,0.235992355,0.155677008,0.155258227,0.286773188,0.17834762
