deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,acq_naics_tom,acq_naics,acq_naics_valid,acq_sic,acq_sic_valid,tar_naics_tom,tar_naics,tar_naics_valid,tar_sic_tom,tar_sic_valid,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_eb_at,tar_eb_at,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,USBC_rd_ratio,USBC_sal_ratio,USBC_export,USBC_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,acq_car_dynamic,tar_car_dynamic,com_car_dynamic,acq_car_n5_5,tar_car_n5_5,com_car_n5_5,acq_car_n40_5,tar_car_n40_5,com_car_n40_5,acq_car_n20_5,tar_car_n20_5,com_car_n20_5,acq_car_n30_5,tar_car_n30_5,com_car_n30_5
960186020,10/01/2000,10/01/2000,,"[-316, -64, -40, 5]",304.072,"Carolina First Corp,SC",Anchor Financial Corp,17640,24279,46,45,253,251,100,100,100,TRUE,456.512,550.1076875,TRUE,1,1,226.517,252.788375,TRUE,1,1,TRUE,TRUE,522110,,0,6020,1,522190,,0,6020,1,TRUE,0,0,0,0.734075307,7.546472886,0.02147924,0.02489045,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,23.2352126,28.59,15.5856,518.719,684.5247,567.0991,19564.45243,419829.937,852.26,713.3586,962.9369,364.0421,11.79779353,11.12495872,11.8263,960.1806,957.2798,964.0163,4.369962074,5.654951452,4.38243281,215.0301,443.3055,317.6296,0.00E+00,0.00E+00,0.00E+00,131.0897,131.0897,455.1116,-0.032026876,-0.167427581,-0.311802393,0.070205995,-0.123318532,-0.112148231,0.218635551,0.034580219,-0.311802393,0.070205995,-0.123318532,-0.181231839,0.231713334,-0.001643226,-0.239932188,0.124001465,-0.079392054
961396020,13/01/2000,13/01/2000,,"[-316, -64, -40, 5]",33.793,"BancFirst Ohio Corp,OH",Milton Federal Financial Corp,28200,30759,46,44,239,191,100,100,100,TRUE,184.701,175.33425,TRUE,1,1,24.675,27.034375,TRUE,1,1,TRUE,TRUE,522110,,0,6710,1,522120,,0,6710,1,TRUE,0,0,0,0.308840749,7.005523813,0.02288548,0.01506173,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,23.2352126,28.59,15.5856,518.719,684.5247,567.0991,19564.45243,419829.937,852.26,713.3586,962.9369,364.0421,11.79779353,11.12495872,11.8263,960.1806,957.2798,964.0163,4.369962074,5.654951452,4.38243281,215.0301,443.3055,317.6296,0.00E+00,0.00E+00,0.00E+00,131.0897,131.0897,455.1116,-0.019902446,-0.264199367,-0.142188919,0.113425567,-0.084592762,-0.10769078,0.173328478,-0.064938801,-0.142188919,0.113425567,-0.084592762,-0.234581818,0.239216463,-0.16043109,-0.222528519,0.132946879,-0.158330875
962266020,17/01/2000,17/01/2000,,"[-316, -64, -40, 5]",15393.528,JDS Uniphase Corp,E-Tek Dynamics Inc,29241,116431,46,46,253,219,100,100,100,TRUE,14434.97,40290.7641,FALSE,0.561092905,1,6537.322,5063.049375,TRUE,1,1,TRUE,TRUE,334413,,0,3670,1,334413,,0,3670,1,FALSE,0,0,0,1.285875037,263.0735345,0.02283418,0.25962707,3674,334413,20.42967181,6.4613,904,44818228,60.3,66.7,80.1,90.8,0.085998153,86.53851388,,,55.65591031,38.8383,34.5436,688.2428,734.1932,809.365,1782.597759,20039.04234,250.22,141.2926,333.3217,157.8459,5.099780807,1.464930134,1.2642,828.8867,629.024,498.6051,9.73281169,16.56471729,5.55806696,733.3821,927.9369,502.7762,56.5174859,10.77076041,10.37443184,933.2764,932.0441,912.284,0.007313264,0.118451666,0.514607986,0.834538874,0.478999981,0.194698278,0.483235393,0.192063134,0.514607986,0.834538874,0.478999981,0.439461593,0.708073532,0.420307341,0.398300833,0.76329531,0.372177837
962226020,18/01/2000,18/01/2000,,"[-316, -64, -40, 5]",16006.384,El Paso Energy Corp,Coastal Corp,4242,3130,46,46,253,253,100,100,100,TRUE,8490.747,8859.418125,TRUE,1,1,7142.768,8562.469313,TRUE,1,1,TRUE,TRUE,221210,,0,4922,1,221210,,0,4922,1,FALSE,1,0,0,2.539285087,1.705866588,0.07696891,0.10559895,4922,221210,20.42967181,6.4613,2376,66515186,18.4,29.2,52.8,81.9,0.043712847,58.31841048,,,35.07206274,41.3717,20.7944,556.829,784.3269,680.091,8983.929358,25653.17854,3103.9455,556.1456,343.5288,858.1811,2.521854175,2.095915558,2.2588,490.2641,711.9512,649.512,13.75538864,9.530844063,10.10494188,795.4163,764.5255,827.2371,0.061242408,0.005773884,0.00E+00,216.1255,210.9268,139.2073,0.087705268,0.100230988,-0.177641502,-0.113523149,-0.144536417,-0.151197619,0.054300431,-0.048326905,-0.177641502,-0.113523149,-0.144536417,-0.102348725,0.086920327,-0.007418146,-0.135916398,0.014480985,-0.059668354
964363020,20/01/2000,20/01/2000,,"[-316, -64, -40, 5]",12.5,TekInsight.com Inc,Data Systems Network Corp,26064,30887,46,46,228,246,100,100,100,TRUE,46.42,37.641375,FALSE,1,1,4.479,4.649596,TRUE,1,1,TRUE,TRUE,334611,,0,5990,1,541512,,0,5990,1,FALSE,0,0,0,0.383915118,23.96013686,-0.16587821,-0.01967417,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,-0.132116,-0.437208529,0.09284862,0.457629001,0.094665564,0.056715459,0.270193187,0.059937761,0.09284862,0.457629001,0.094665564,0.054685055,0.087554421,0.055944967,-0.227190104,0.561613167,-0.225265255
963722020,20/01/2000,20/01/2000,,"[-316, -64, -40, 5]",132.393,Omega Research Inc,onlinetradinginc.com,65521,121201,46,46,253,90,100,100,100,TRUE,152.914,152.9746875,TRUE,1,1,,121.2258125,TRUE,1,1,TRUE,TRUE,523120,,0,7370,1,523110,,0,7370,1,TRUE,0,0,0,4.409494126,3557.550872,0.10630187,0.10533643,6211,523120,20.42967181,6.4613,27776,107198773,37.8,49.7,67.3,81.3,0.00553666,124.5317199,,,10.31236877,30.6373,17.9955,259.5141,707.8805,605.1017,21170.87332,308443.4695,517.1755,733.2477,912.4163,292.2251,3.285247179,7.736369236,2.4727,712.7407,908.6081,700.3634,8.055643864,5.558165519,3.164321515,643.7141,325.5636,187.4319,0.00E+00,0.00E+00,0.00E+00,170.0168,170.0168,501.45,-0.007045882,-0.652686807,-0.254721185,-0.029952798,0.053302766,-0.088860534,-0.026570353,-0.009137575,-0.254721185,-0.029952798,0.053302766,0.02290354,-0.087290811,0.036310408,-0.123723935,-0.00549947,0.079218349
965944020,26/01/2000,26/01/2000,,"[-316, -64, -40, 5]",777.197,BroadVision Inc,Interleaf Inc,63099,12337,46,46,253,253,100,100,100,TRUE,13156.257,8793.975,TRUE,1,1,453.665,606.1997866,TRUE,0.922705703,1,TRUE,TRUE,334611,,0,7370,1,334611,,0,7370,1,FALSE,0,0,0,7.409940063,2158.560383,0.04796085,0.04852957,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,-0.048634674,-0.241315491,-0.214458125,-0.407539251,-0.216499131,-0.053547632,0.086360706,-0.054446114,-0.214458125,-0.407539251,-0.216499131,-0.308535004,0.073079144,-0.311892111,-0.070795399,-0.195460352,-0.0735128
967321020,28/01/2000,28/01/2000,,"[-316, -64, -40, 5]",36.969,International Rectifier Corp,Zing Technologies Inc,6109,11768,46,45,253,170,100,100,100,TRUE,1352.345,1052.595,TRUE,1,1,30.988,21.06125,TRUE,1,1,TRUE,TRUE,334413,,0,3674,1,334413,,0,3674,1,FALSE,0,0,0,0.052275046,49.77043832,0.0873647,0.0353472,3674,334413,20.42967181,6.4613,904,44818228,60.3,66.7,80.1,90.8,0.085998153,86.53851388,,,55.65591031,38.8383,34.5436,688.2428,734.1932,809.365,1782.597759,20039.04234,250.22,141.2926,333.3217,157.8459,5.099780807,1.464930134,1.2642,828.8867,629.024,498.6051,9.73281169,16.56471729,5.55806696,733.3821,927.9369,502.7762,56.5174859,10.77076041,10.37443184,933.2764,932.0441,912.284,-0.007311176,-0.115835083,0.485701336,0.460467688,0.446022364,0.291469063,-0.050889375,0.293228523,0.485701336,0.460467688,0.446022364,0.345370013,0.242374076,0.351662172,0.407244885,0.643336871,0.405021701
967341020,28/01/2000,28/01/2000,,"[-316, -64, -40, 5]",93.859,Leapnet Inc,SPR Inc,63662,65604,46,46,253,253,100,100,100,TRUE,84.396,77.3999264,TRUE,1,1,78.31,57.5325,TRUE,1,1,TRUE,TRUE,334611,,0,7310,1,541511,,0,7310,1,FALSE,0,0,0,4.265141968,1.23232592,-0.05473391,0.234875,7372,334611,20.42967181,6.4613,189,290470,34.1,50.1,68.5,84.1,0.052821828,51.381217,,,29.2017928,11.1885,9.1424,560.7946,350.8096,343.197,670.1679621,12472.23527,90.858,41.0781,207.0045,77.5003,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.40967533,9.763854288,5.46402366,789.6755,835.4307,486.2786,57.27389974,5.646066226,14.27464762,949.5536,887.8127,954.802,-0.21341571,-0.299937701,-0.050997582,0.453761992,0.064185218,-0.006834883,0.012759089,0.01148435,-0.050997582,0.453761992,0.064185218,-0.058976304,0.042868226,-0.010569238,-0.090629454,0.190803773,-0.012586225
972387020,31/01/2000,31/01/2000,,"[-316, -64, -40, 5]",52.699,Standard Pacific Corp,Writer Corp,10002,11610,46,27,253,97,100,100,100,TRUE,313.03,322.498125,TRUE,1,1,11.194,13.99125,TRUE,1,1,TRUE,TRUE,236220,,0,1521,1,236115,,0,1521,1,FALSE,0,0,0,0.043092562,16.41295359,0.09279147,0.09546293,1531,236220,20.42967181,6.4613,,,,,,,0.00645009,,,,55.07778448,51.9569,40.5141,503.4203,961.6397,961.6397,3316.41651,43494.28587,500.398,381.1207,302.8244,381.1207,2.636524444,1.185639814,2.0907,332.0564,342.5554,609.6572,38.73207415,9.279706677,17.67906404,961.6397,772.8342,961.6397,1.214089074,0.474979022,0.00E+00,189.8635,454.356,38.4768,-0.006175729,-0.159409181,-0.067164276,0.415033144,-0.071774925,0.057051878,,,-0.067164276,0.415033144,-0.071774925,-0.025912996,0.481009624,-0.009472012,-0.080025029,0.421367628,-0.054697006
972835020,02/02/2000,02/02/2000,,"[-316, -64, -40, 5]",497.52,Wells Fargo & Co,First Commerce Bancshares Inc,8007,18238,46,43,253,223,100,100,100,TRUE,60457.806,77495.79531,TRUE,1,1,293.448,263.290875,FALSE,1,2,TRUE,TRUE,522110,,0,6021,1,522110,,0,6021,1,TRUE,1,0,0,0.013275393,311.6711924,0.03848376,0.03584786,6021,522110,20.42967181,6.4613,81357,488659993,29.5,41.9,56.3,70.9,0.00553666,42.61954712,,,23.2352126,28.59,15.5856,518.719,684.5247,567.0991,19564.45243,419829.937,852.26,713.3586,962.9369,364.0421,11.79779353,11.12495872,11.8263,960.1806,957.2798,964.0163,4.369962074,5.654951452,4.38243281,215.0301,443.3055,317.6296,0.00E+00,0.00E+00,0.00E+00,131.0897,131.0897,455.1116,0.001184961,0.237678343,-0.2423497,0.644456954,-0.243786138,0.007042649,0.154026779,0.006543288,-0.2423497,0.644456954,-0.243786138,-0.011933494,0.603956041,-0.038362715,-0.073615383,0.624766238,-0.0753816
