deal_no,date,date_original,hoda,win,deal_val,acq_name,tar_name,acq_gvkey,tar_gvkey,acq_ev_len,tar_ev_len,acq_es_len,tar_es_len,acquired,own,sought,control,acq_mv_tom,acq_mv,acq_mv_valid,acq_factor,acq_p_classes,tar_mv_tom,tar_mv,tar_mv_valid,tar_factor,tar_p_classes,acq_ultimo,tar_ultimo,cash_pct,acq_naics_tom,acq_naics,acq_sic,acq_sic_crsp,tar_naics,tar_naic_crsp,tar_sic,tar_sic_crsp,hor_level,fin_indu,acq_acq_oth,tar_tar_oth,tar_tar_oth_tom,acq_bm,tar_bm,acq_ebat,acq_ebitat,tar_ebat,tar_ebitat,com_siccd,com_naics,com_growth,bea_growth,estab,rcptot,c4,c8,c20,c50,nsf_rd,usbc_sal,usbc_sal_p,usbc_export,usbc_import,com_grow_equal_w,com_grow_market_w,com_grow_median_w,com_grow_equal_p,com_grow_market_p,com_grow_median_p,com_assets_equal_w,com_assets_market_w,com_assets_median_w,com_assets_equal_p,com_assets_market_p,com_assets_median_p,com_atrv_equal_w,com_atrv_market_w,com_atrv_median_w,com_atrv_equal_p,com_atrv_market_p,com_atrv_median_p,com_fxvc_equal_w,com_fxvc_market_w,com_fxvc_median_w,com_fxvc_equal_p,com_fxvc_market_p,com_fxvc_median_p,com_xrd_equal_w,com_xrd_market_w,com_xrd_median_w,com_xrd_equal_p,com_xrd_market_p,com_xrd_median_p,assets_relprev,assets_rel,acq_car_n40_5,tar_car_n40_5,com_car_n40_5,acq_car_n35_5,tar_car_n35_5,com_car_n35_5,acq_car_n30_5,tar_car_n30_5,com_car_n30_5,acq_car_n20_5,tar_car_n20_5,com_car_n20_5,acq_car_n10_5,tar_car_n10_5,com_car_n10_5
SDC deal number,Announcement date,Date original announced (rumour etc.),hoda,Primary event window used,Deal value,Acquirer name,Target name,Acquirer gvkey,Target gvkey,Acquirer event window length,Target event window length,Acquirer estimation window length,Target estimation window length,Shares acquired in the transaction,Shares owned prior to the transaction,Shares sought,Whether the acquirer gained control with the company,Acquirer market value (Thomson),Acquirer market value,Acquirer market value valid,Acquirer market factor,Acquirer number of stock classes,Target value (Thomson),Target value,Target market value valid,Target market factor,Target number of stock classes,Acquirer market cap is based on a quarter before and after (ultimo),Target market cap is based on a quarter before and after (ultimo),Cash pct. used to pay for the target,Acuirer NAICS (Thomson),Acquirer NAICS (CRSP),Acquirer SIC (Thomson),Acquirer SIC (CRSP),Target NAICS (Thomson),Target NAICS (CRSP),Target SIC (Thomson),Target SIC (CRSP),Horizontal level,True if target or acquirer industry is financial,Acquirer as an acquirer: part of another deal during the period (1 if true),Target as an target: part of another deal during the period (1 if true),Whether Thomson has registered other bids for the target,Acquirer P/B,Target P/B,Acquirer EBITDA/Assets,Acquirer EBIT/Assets,Target EBITDA/Assets,Target EBIT/Assets,Combined siccd,Combined NAICS,,,,,,,,,Total R&D expenditures divided by net sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relative assets compared to industry and pre merger asset level,Relative assets compared to industry,Acquirer CAR,Target CAR,Combined CAR,Acquirer CAR,Target CAR,Combined CAR,Acquirer CAR,Target CAR,Combined CAR,Acquirer CAR,Target CAR,Combined CAR,Acquirer CAR,Target CAR,Combined CAR
962226020,2000-01-18,2000-01-18,,"[-241, -41, -40, 5]",16006.384,El Paso Energy Corp,Coastal Corp,4242,3130,46,46,201,201,100.000,100.000,100.000,True,8490.747,8859.418125,1,1.0000,1,7142.768,8562.4693125,1,1.0000,1,1,1,,221210,,4922,4922,221210,,4923,4922,3,False,1,0,0,2.539285086743772241992882562,1.705866588042745739867141619,0.07696891,0.05025325,0.10559895,0.06957843,4922,221210,20.42967181,6.4613,2376,66515186,18.40,29.20,52.80,81.90,4.371284723354374,58.318410478691426,934.380180330,,,37.579176421,57.8242,31.4543,629.8744,927.6781,797.2576,3971.155000000,14095.663446743,2082.720000000,305.989100000,227.496500000,584.986100000,1.964378816,1.436408212,1.6862,466.6891,617.2305,567.1855,17.719123526,5.339540357,6.519567030,869.333600000,286.488900000,714.197700000,0.210129368,0.003910280,0E-9,535.079600000,270.973900000,343.189900000,0.104482792658,0.31069899342,-0.194869290821,-0.163176812045,-0.177959057857,-0.13946576166,-0.0448248324669,-0.0908394342149,-0.149349492894,-0.0240857360661,-0.0856270778279,-0.112144496568,0.0585105245036,-0.026461234358,-0.152125811202,0.0178414458728,-0.0669553922461
967341020,2000-01-28,2000-01-28,,"[-241, -41, -40, 5]",93.859,Leapnet Inc,SPR Inc,63662,65604,46,46,201,201,100.000,100.000,100.000,True,84.396,77.3999264,1,1.0000,1,78.310,57.5325,1,1.0000,1,1,1,,334611,,7372,7310,541511,,7371,7370,3,False,0,0,0,4.265141967529097783379049596,1.232325920264934403260731117,-0.05473391,-0.17165971,0.23487500,0.21576752,7372,334611,20.42967181,6.4613,189,290470,34.10,50.10,68.50,84.10,5.282182835820896,51.38121700472353,865.563164669,,,13.297311273,6.0381,17.0353,397.5398,214.7731,591.2763,504.163363636,1015.264065672,162.367000000,39.629600000,36.440000000,37.820500000,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.833065990,385.440700000,377.996300000,610.040200000,70.530953818,10.346134483,9.356041880,966.567400000,925.743000000,940.623900000,-0.272857997219,-0.104950630271,-0.161556321726,0.469287204972,-0.0166345651045,-0.430876410586,0.302865212765,-0.283086390013,-0.173953471842,0.203659574585,-0.0737530464952,-0.0990640857972,0.0565828854017,-0.040880984408,0.0470272839501,0.0273401198253,0.0659653064287
974483020,2000-02-07,2000-02-07,,"[-241, -41, -40, 5]",4206.539,Kana Communications Inc,Silknet Software Inc,123998,120218,46,46,54,151,100.000,100.000,100.000,True,5686.602,5223.2507964368,1,0.9450,1,2281.778,1725.7320,1,1.0000,1,1,1,,334611,,7372,7370,,,7375,7370,3,False,0,0,0,-491.9418472063854047890535918,92.59441227507179578088991314,-0.47993453,-0.49518822,-0.14300497,-0.15460415,7372,334611,20.42967181,6.4613,189,290470,34.10,50.10,68.50,84.10,5.282182835820896,51.38121700472353,865.563164669,,,13.297311273,6.0381,17.0353,397.5398,214.7731,591.2763,504.163363636,1015.264065672,162.367000000,39.629600000,36.440000000,37.820500000,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.833065990,385.440700000,377.996300000,610.040200000,70.530953818,10.346134483,9.356041880,966.567400000,925.743000000,940.623900000,-0.325366877242,-0.139015653748,-0.520941163289,0.267422406972,-0.52079462933,-0.522767491422,0.142569568259,-0.523460856956,-0.566578402723,0.214970572835,-0.567414518586,-0.336214710283,0.377083704695,-0.335750695728,-0.0611894759822,0.232668948239,-0.0618210935852
977805020,2000-02-17,2000-02-17,,"[-241, -41, -40, 5]",1504.728,Lennar Corp,US Home Corp,6669,10950,46,46,201,201,100.000,100.000,100.000,True,959.275,764.01675,0,1.0000,1,370.131,342.7798125,1,1.0000,1,1,1,40.442,236115,,1521,6552,236115,,1521,1531,4,False,0,0,0,0.3888601263302624279777969119,1.485717299865238283217401957,0.15214028,0.13320798,0.06724731,0.06724731,1521,236115,20.42967181,6.4613,,,,,,,0.6450090458585699,,,,,14.813396154,12.5097,15.4772,324.3692,325.9928,586.3228,724.614769230,927.415717576,421.567000000,33.510200000,2.879900000,309.244100000,3.085327466,0.848075057,0.6172,634.1980,78.7409,28.1688,1.469665077,1.028446539,0.686790690,1.117200000,2.867500000,33.865700000,16.195691846,0.778771241,0E-9,710.123200000,645.889100000,450.563500000,0.0836091420805,0.345909809937,0.105486927157,0.383044933924,0.210260073345,0.102044962238,0.402439873867,0.214375530161,0.0746731124525,0.366626760161,0.184550988592,0.0440739547201,0.267995448709,0.130572856852,0.0233289387997,0.355881419883,0.147129820147
980830020,2000-02-25,2000-02-25,,"[-241, -41, -40, 5]",1412.690,NetIQ Corp,Mission Critical Software Inc,122436,122517,46,46,104,100,100.000,100.000,100.000,True,1072.618,913.95475,1,1.0000,1,1000.569,1133.9549927861,1,0.9401,1,1,1,,334611,,7372,7370,334611,,7372,7370,4,False,0,0,0,-70.18785545841173557811339440,-40.25877675975684961677385252,-0.05339436,-0.07551487,0.10991791,0.06055324,7372,334611,20.42967181,6.4613,189,290470,34.10,50.10,68.50,84.10,5.282182835820896,51.38121700472353,865.563164669,,,13.297311273,6.0381,17.0353,397.5398,214.7731,591.2763,504.163363636,1015.264065672,162.367000000,39.629600000,36.440000000,37.820500000,2.746340586,1.319433884,1.1721,707.9222,509.9332,458.6946,5.524370545,5.571379699,5.833065990,385.440700000,377.996300000,610.040200000,70.530953818,10.346134483,9.356041880,966.567400000,925.743000000,940.623900000,-0.133118171537,-0.295186734917,-0.232637955688,-0.474591255076,-0.352142629864,-0.225098730304,-0.500037280388,-0.363176642891,-0.109811540739,-0.34200649454,-0.224161743092,-0.208108022651,-0.336403010432,-0.265778544065,-0.138599739617,-0.129858888908,-0.125704445101
983469020,2000-03-07,2000-03-07,,"[-241, -41, -40, 5]",21101.386,VeriSign Inc,Network Solutions Inc,66368,65488,46,46,201,201,100.000,100.000,100.000,True,9709.620,15985.63125,0,1.0000,1,9095.950,6614.8733125,1,1.0000,1,1,1,,541512,,7373,7370,,,7375,7370,3,False,0,0,0,22.17085227025160963805348590,89.50571531755496951270723800,0.00613777,-0.00970202,0.07663805,0.05709072,7373,541512,20.42967181,6.4613,39517,78335457,21.10,28.90,40.00,48.30,16.529415821780812,72.84710060714848,971.860307855,,,29.201792796,11.1885,9.1424,560.7946,350.8096,343.1970,670.167962085,12472.235273653,90.858000000,41.078100000,207.004500000,77.500300000,3.387278702,1.202904926,1.1056,726.2573,436.9308,395.7569,12.409675332,9.763854288,5.464023660,789.675500000,835.430700000,486.278600000,57.273899744,5.646066226,14.274647620,949.553600000,887.812700000,954.802000000,0.230918448135,0.524328056169,-0.0447518582448,0.714527117086,0.16134531871,-0.0277004893043,0.664681427841,0.159891564181,-0.127355584977,0.516589377732,0.0455863241644,-0.00636211761941,0.536736255063,0.141371767942,-0.258256602859,0.37757303627,-0.0934827963229
984550020,2000-03-08,2000-03-08,,"[-241, -41, -40, 5]",1105.654,Cybex Computer Products Corp,Apex Inc,61093,64397,46,46,201,201,100.000,100.000,100.000,True,480.768,553.248125,1,1.0000,1,957.375,748.2240,1,1.0000,1,1,1,,334119,,3577,3570,334119,,3577,3570,4,False,0,0,0,11.65530562651878621720979500,5.861113906751559967370461793,0.21718901,0.19914917,0.28972142,0.28372031,3577,334119,20.42967181,6.4613,838,8493631,46.00,56.00,71.10,82.40,7.523076542354426,62.26204314363674,950.842617653,,,104.888620707,2.2442,2.0444,919.9254,94.0467,142.0404,2270.681913793,61170.971132142,82.037000000,209.370600000,634.745600000,24.137400000,2.678784235,1.003547725,0.9887,629.8653,254.7475,289.2989,6.279414069,5.825096747,4.319470500,461.390800000,476.889000000,276.188200000,31.063631586,5.199470878,10.512593745,911.716800000,868.188900000,929.558000000,0.17086940589,0.198963378334,0.22287180828,0.0204309761531,0.103109206301,0.209203476317,0.0580911693385,0.120435435557,0.017203065396,-0.0338373573583,-0.0132292975238,0.0487544617146,-0.137397008629,-0.0613750330953,0.0656210294358,-0.0788341425705,-0.0194142275249
985448020,2000-03-13,2000-03-13,,"[-241, -41, -40, 5]",9069.821,Tribune Co,Times Mirror Co,10726,10580,46,46,201,201,100.000,100.000,100.000,True,9460.856,12178.6400,1,1.0000,1,5130.722,3946.441625,1,0.6985,1,1,1,24.554,511110,,2711,2711,511110,,2711,2711,4,False,0,0,0,0.9208628693218741592466476619,-21.44696917666492324544024908,0.11282494,0.08757298,0.15791697,0.12072394,2711,511110,20.42967181,6.4613,8603,46179063,31.90,44.10,61.90,77.50,2.7524992154928944,34.4524231327567,653.867396620,,,10.465041571,13.9384,9.1479,332.5476,382.5088,314.7945,4054.358428571,6707.611540648,2661.931500000,197.187500000,175.823500000,331.645800000,1.787064336,1.792951320,1.4566,534.0968,666.5100,530.7567,9.534765286,9.336188357,8.843406785,718.226100000,765.077100000,764.888900000,0.099180643,0.096607892,0E-9,520.109300000,470.503500000,104.007400000,0.046498384694,0.198072687609,-0.396989877398,0.304945152994,0.0345999002363,-0.31652023789,0.359234399954,0.100433060163,-0.215805935265,0.391596875585,0.163027677946,-0.15144372284,0.476619281778,0.238925918681,-0.0194201310885,0.581176748333,0.355413953359
993439020,2000-04-03,2000-04-03,,"[-241, -41, -40, 5]",7250.069,Anadarko Petroleum Corp,Union Pacific Resources Group,11923,61413,46,46,201,201,100.000,100.000,100.000,True,3872.457,4056.6981875,1,1.0000,1,2535.396,2741.04375,1,1.0000,1,1,1,,211111,,1311,1311,211111,,1311,1311,4,False,0,0,0,1.601677585870402335455234965,1.791590419776531378350925231,0.09687575,0.04366158,0.15860027,0.02394703,1311,211111,20.42967181,6.4613,,,,,,,4.371284723354374,65.24956583089113,957.018611246,,,84.791449306,76.7385,70.4158,944.2455,947.6277,950.1031,5798.424000000,52785.416499067,842.704000000,287.137400000,616.208900000,143.519500000,2.305262035,1.025900223,2.3181,628.5356,355.8340,672.5769,62.821874145,8.900118620,44.792288490,968.762100000,731.296500000,962.326900000,0.030001468,0.273911048,0E-9,481.569600000,536.412200000,28.561400000,0.136007137425,0.370802647426,0.147243496919,0.381566683149,0.223513497077,0.167947591747,0.436572789369,0.254433339966,0.133185423027,0.381173090577,0.21373561795,0.212316521795,0.455200062197,0.290873400959,0.0920543525555,0.257258113969,0.147025688238
