deal,date,code,desc
973793020,03/02/2000,7,Unable to get shares outstanding from fundamentals 127282
979893020,22/02/2000,7,Unable to get shares outstanding from fundamentals 126320
979995020,22/02/2000,7,Unable to get shares outstanding from fundamentals 127381
981236020,28/02/2000,7,Unable to get shares outstanding from fundamentals 126459
981267020,29/02/2000,7,Unable to get shares outstanding from fundamentals 126720
991020020,27/03/2000,7,Unable to get shares outstanding from fundamentals 126734
994758020,06/04/2000,7,Unable to get shares outstanding from fundamentals 1786
994809020,05/04/2000,7,Unable to get shares outstanding from fundamentals 64597
1003158020,05/05/2000,7,Unable to get shares outstanding from fundamentals 133524
1008326020,22/05/2000,5,Not enough data in estimation window
1008413020,22/05/2000,7,Unable to get shares outstanding from fundamentals 130049
1011997020,06/06/2000,7,Unable to get shares outstanding from fundamentals 28378
1023743020,10/07/2000,5,Not enough data in estimation window
1024064020,12/07/2000,7,Unable to get shares outstanding from fundamentals 129083
1025882020,17/07/2000,7,Unable to get shares outstanding from fundamentals 23945
1040498020,24/08/2000,7,Unable to get shares outstanding from fundamentals 135686
1044267020,07/09/2000,7,Unable to get shares outstanding from fundamentals 133885
1045086020,11/09/2000,1,Gvkey -2 has no primary share between 1999-06-10 and 2000-09-11
1072098020,06/12/2000,70,Unable to get cap from secd 137410
1191911020,11/06/2001,7,Unable to get shares outstanding from fundamentals 64597
1197569020,27/06/2001,70,Unable to get cap from secd 136645
1226064020,01/10/2001,70,Unable to get cap from secd 64840
1301737020,10/06/2002,7,Unable to get shares outstanding from fundamentals 31720
1309692020,08/07/2002,5,Not enough data in estimation window
1333966020,08/10/2002,5,Not enough data in estimation window
1368202020,03/02/2003,7,Unable to get shares outstanding from fundamentals 149268
1420800020,04/08/2003,7,Unable to get shares outstanding from fundamentals 12233
1481700020,02/02/2004,7,Unable to get shares outstanding from fundamentals 155393
1635535020,31/01/2005,1,Gvkey -2 has no primary share between 2003-10-27 and 2005-01-31
1683942020,03/08/2005,7,Unable to get shares outstanding from fundamentals 160632
1686108020,10/08/2005,7,Unable to get shares outstanding from fundamentals 162566
1722502020,21/12/2005,5,Not enough data in estimation window
1767051020,08/06/2006,1,Gvkey -2 has no primary share between 2005-03-07 and 2006-06-08
1839154020,12/02/2007,7,Unable to get shares outstanding from fundamentals 147242
1841390020,20/02/2007,7,Unable to get shares outstanding from fundamentals 176247
1999390020,28/07/2008,7,Unable to get shares outstanding from fundamentals 66404
2001913020,05/08/2008,5,Not enough data in estimation window
